county_name,state,date,cases,deaths,population,case_rate,death_rate
Statewide Unallocated,IL,1/22/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,1/23/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,1/24/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,1/25/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,1/26/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,1/27/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,1/28/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,1/29/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,1/30/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,1/31/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/1/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/10/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/11/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/12/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/13/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/14/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/15/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/16/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/17/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/18/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/19/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/2/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/20/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/21/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/22/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/23/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/24/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/25/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/26/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/27/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/28/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/29/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/3/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/4/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/5/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/6/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/7/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/8/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,2/9/20,0,0,0,NaN,NaN
Statewide Unallocated,IL,3/1/20,0,0,0,NaN,NaN
